MDTU,link
1918,9.58798
1920,10.244
1922,9.58724
1924,9.69538
1926,10.3869
1928,9.76328
1930,10.2569
1932,10.2569
1934,9.46821
1936,9.46821
1938,9.67507
1940,9.63621
1942,8.94033
1944,8.80029
1946,8.23779
1948,8.08509
1950,7.88238
1952,7.80177
1954,8.06114
1956,8.30973
1958,8.30973
1960,8.30973
1962,8.30973
1964,8.59273
1966,9.12175
1968,9.12175
1970,9.55523
1972,9.41829
1974,9.62206
1976,10.0693
1978,9.35089
1980,8.98098
1982,8.80362
1984,8.99325
1986,8.69485
1988,8.69485
1990,7.98354
1992,8.30122
1994,8.40623
1996,8.34845
1998,8.56729
2000,8.89788
