MDTU,plaq,Re(det),Im(det),link
870,0.140099,9.12595e-09,1.25266e-08,3.57677
872,0.179386,1.10415e-08,1.21495e-08,3.27045
874,0.163198,6.77961e-09,9.7946e-09,3.21857
876,0.163198,6.77961e-09,9.7946e-09,3.21857
878,0.171164,2.71503e-08,1.50321e-08,3.15436
880,0.171164,2.71503e-08,1.50321e-08,3.15436
882,0.146775,8.98047e-09,6.36768e-09,3.1114
884,0.171402,6.1315e-09,4.43835e-09,3.24019
886,0.167972,8.73423e-09,5.25422e-09,3.21763
888,0.167972,8.73423e-09,5.25422e-09,3.21763
890,0.178858,7.55891e-09,6.07985e-09,3.21575
892,0.18175,7.13191e-08,5.95808e-08,3.35653
894,0.16523,5.80686e-09,1.1182e-08,3.52647
896,0.159486,6.23767e-09,6.98133e-09,3.55648
898,0.17307,2.40743e-08,3.11341e-08,3.67872
900,0.144182,1.91256e-08,3.28898e-08,3.6414
902,0.152137,1.06879e-08,1.03747e-08,3.77645
904,0.152137,1.06879e-08,1.03747e-08,3.77645
906,0.152137,1.06879e-08,1.03747e-08,3.77645
908,0.149401,8.45993e-09,7.6042e-09,3.5936
910,0.170441,1.38797e-08,8.87407e-09,3.42462
912,0.116218,2.13609e-08,1.65289e-08,3.41913
914,0.131156,1.81008e-08,1.09839e-08,3.62172
916,0.164287,2.62646e-08,2.09348e-08,3.66473
918,0.177563,5.22356e-08,2.36361e-08,3.26343
920,0.194732,1.90375e-08,6.46176e-08,3.21321
922,0.194732,1.90375e-08,6.46176e-08,3.21321
924,0.194732,1.90375e-08,6.46176e-08,3.21321
926,0.180821,9.71783e-09,1.42798e-08,3.22512
928,0.171768,8.16674e-09,6.55149e-09,3.28319
930,0.150822,5.33496e-09,4.61305e-09,3.52834
932,0.151965,7.87752e-09,8.65543e-09,3.56487
934,0.151965,7.87752e-09,8.65543e-09,3.56487
936,0.184622,1.31346e-08,9.25957e-09,3.53814
938,0.184622,1.31346e-08,9.25957e-09,3.53814
940,0.152817,2.42573e-08,1.6099e-08,3.30033
942,0.152817,2.42573e-08,1.6099e-08,3.30033
944,0.152817,2.42573e-08,1.6099e-08,3.30033
946,0.152817,2.42573e-08,1.6099e-08,3.30033
948,0.15945,3.69657e-08,2.41043e-08,3.46001
950,0.168953,6.86674e-09,1.18553e-08,3.3154
952,0.171271,6.26974e-09,9.9405e-09,3.37693
954,0.168792,1.03669e-08,8.40379e-09,3.44786
956,0.153743,9.24008e-09,9.65623e-09,3.3711
958,0.165965,1.10314e-08,9.59928e-09,3.41248
960,0.164856,1.29863e-08,1.97278e-08,3.52607
962,0.153334,2.08799e-08,1.247e-08,3.33099
964,0.174835,6.08438e-09,6.52808e-09,3.62041
966,0.131599,9.48416e-09,1.63467e-08,3.79831
968,0.164236,1.03988e-08,1.63089e-08,3.66262
970,0.167207,7.64829e-09,5.27363e-09,3.67395
972,0.183861,1.45837e-08,8.86177e-09,3.62859
974,0.148314,1.65392e-08,1.57194e-08,3.33954
976,0.143783,8.05532e-09,5.21616e-09,3.70084
978,0.174563,6.04344e-09,6.73658e-09,3.49133
980,0.192878,1.14858e-08,1.03388e-08,3.61903
982,0.14747,2.75792e-08,3.22336e-08,3.66305
984,0.14747,2.75792e-08,3.22336e-08,3.66305
