t,deltaS
847,-0.2581
848,1.633
849,0.8082
850,-0.4334
851,0.08836
852,0.5191
853,-1.257
854,0.7254
855,0.1705
856,0.66
857,0.3173
858,0.3902
859,0.2282
860,0.5665
861,-0.4257
862,0.5791
863,0.3418
864,0.7995
865,0.1508
866,0.4142
867,0.02782
868,0.9446
869,-1.212
870,0.3292
871,-0.1075
872,0.5849
873,-0.2234
874,0.4482
875,0.2609
876,0.3351
877,0.2929
878,-0.8315
879,0.2823
880,-0.0203
881,0.2943
882,0.3149
883,-0.5554
884,-0.2007
885,0.3532
886,0.6453
887,-0.114
888,-0.2478
889,0.3116
890,-0.1952
891,0.4393
892,-0.1749
893,-0.6048
894,0.743
895,-0.3409
896,-0.2683
897,0.1407
898,-1.047
899,1.856
900,0.7885
901,0.108
902,0.4971
903,0.1406
904,-0.2473
905,-0.3918
906,0.1734
907,-0.03196
908,-0.6073
909,1.056
910,0.7382
911,-0.5543
912,1.214
913,0.1497
914,0.4453
915,-1.134
916,0.9526
917,0.1986
918,-0.1943
919,0.4327
920,0.2522
921,-0.1709
922,-0.6364
923,0.096
924,-1.072
925,0.7609
926,-0.08779
927,0.5005
928,0.203
929,-0.4219
930,0.2416
931,-0.5316
932,0.01311
933,1.154
934,-0.1739
935,1.209
936,0.6568
937,0.4518
938,1.395
939,0.372
940,-0.801
941,0.1046
942,0.1258
943,0.2252
944,0.8514
945,-0.8661
946,0.3185
947,0.1961
948,-0.6546
949,-0.5521
950,0.1537
951,-0.1119
952,1.223
953,0.759
954,0.9974
955,0.7679
956,-0.8139
957,0.1046
958,1.319
959,0.4769
960,0.7793
961,0.1075
962,-0.5354
963,-0.3107
964,-0.2348
965,0.1968
966,0.842
967,0.22
968,0.3361
969,-0.1546
970,-0.3715
971,0.2877
972,-0.1575
973,0.06061
974,0.747
975,0.8686
976,-0.6207
977,-0.5554
978,0.01446
979,0.896
980,0.5763
981,0.6281
982,1.119
983,-0.4393
984,0.1882
985,-0.3199
986,0.01757
987,0.976
988,-0.2637
989,-0.02211
990,1.009
991,-0.09819
992,-0.01435
993,-0.6902
994,1.085
995,-0.6539
996,-0.0619
997,0.7835
998,-0.1992
999,-0.5846
1000,0.5961
