t,e^(-dS)
858,0.552004
859,0.443925
860,0.968439
861,0.684956
862,1.19494
863,0.826215
864,1.08923
865,0.805091
866,0.611708
867,1.07151
868,0.900415
869,0.790887
870,0.78836
871,1.41227
872,1.14328
873,0.789149
874,1.21787
875,1.62938
876,0.813752
877,1.11071
878,1.77891
879,0.498077
880,0.894223
881,1.00782
882,1.36738
883,1.32724
884,0.852314
885,1.41482
886,0.96998
887,0.691218
888,0.928105
889,1.91439
890,0.568474
891,0.739412
892,0.983645
893,0.727603
894,1.32154
895,0.765214
896,0.876604
897,1.08254
898,1.1565
899,1.12322
900,0.935766
901,0.975242
902,1.32459
903,0.699563
904,1.05235
905,1.08757
906,1.37259
907,0.971203
908,1.16474
909,0.88232
910,0.727748
911,1.04027
912,1.08605
913,1.33016
914,0.691702
915,0.812451
916,1.02895
917,0.670924
918,1.2512
919,0.999136
920,1.0546
921,1.68018
922,0.917677
923,0.541398
924,0.847216
925,1.0792
926,0.647006
927,1.06357
928,1.36999
929,0.595651
930,1.12142
931,1.07098
932,0.797878
933,0.86459
934,1.04382
935,1.37328
936,0.93469
937,1.27749
938,0.583098
939,1.15824
940,0.809046
941,0.946135
942,0.897807
943,0.935167
944,1.13746
945,1.1116
946,0.833518
947,0.737492
948,1.23899
949,1.15592
950,1.13894
951,0.842316
952,1.43261
953,0.811963
954,0.865195
955,1.64033
956,0.931835
957,0.711201
958,0.613117
959,0.778411
960,1.09993
961,1.02483
962,1.53772
963,0.615451
964,0.718852
965,0.945303
966,1.01997
967,0.921032
968,0.705816
969,1.18507
970,0.845777
971,0.851207
972,1.85114
973,0.792867
974,1.04008
975,0.617424
976,0.837194
977,0.608049
978,0.55035
979,1.31167
980,1.03322
981,0.563944
982,1.12784
983,0.906685
984,0.82878
985,1.22483
986,1.93383
987,1.13633
988,0.673209
989,0.78773
990,1.35094
991,0.734548
992,2.08486
993,0.461211
994,0.495048
995,0.965432
996,1.2857
997,0.871883
998,1.20551
999,0.839961
1000,1.18246
