t,G,F1,F2,F3
873,0.5534,0,null,null
874,0.521,0,null,null
875,0.5548,0,null,null
876,0.5448,0,null,null
877,0.5368,0,null,null
878,0.556,0,null,null
879,0.6001,0,null,null
880,0.5137,0,null,null
881,0.5067,0,null,null
882,0.5325,0,null,null
883,0.5602,0,null,null
884,0.5861,0,null,null
885,0.5787,0,null,null
886,0.5616,0,null,null
887,0.5423,0,null,null
888,0.53,0,null,null
889,0.5516,0,null,null
890,0.5496,0,null,null
891,0.5582,0,null,null
892,0.5671,0,null,null
893,0.5472,0,null,null
894,0.5151,0,null,null
895,0.526,0,null,null
896,0.5353,0,null,null
897,0.5571,0,null,null
898,0.5292,0,null,null
899,0.5311,0,null,null
900,0.5469,0,null,null
901,0.5518,0,null,null
902,0.582,0,null,null
903,0.5503,0,null,null
904,0.5492,0,null,null
905,0.5769,0,null,null
906,0.5547,0,null,null
907,0.5766,0,null,null
908,0.5453,0,null,null
909,0.519,0,null,null
910,0.5594,0,null,null
911,0.5373,0,null,null
912,0.5447,0,null,null
913,0.5432,0,null,null
914,0.5349,0,null,null
915,0.5271,0,null,null
916,0.5516,0,null,null
917,0.5359,0,null,null
918,0.5324,0,null,null
919,0.5213,0,null,null
920,0.5469,0,null,null
921,0.5632,0,null,null
922,0.5407,0,null,null
923,0.5381,0,null,null
924,0.5674,0,null,null
925,0.5506,0,null,null
926,0.5486,0,null,null
927,0.5107,0,null,null
928,0.5409,0,null,null
929,0.5263,0,null,null
930,0.5011,0,null,null
931,0.5179,0,null,null
932,0.5361,0,null,null
933,0.5078,0,null,null
934,0.5371,0,null,null
935,0.5546,0,null,null
936,0.5195,0,null,null
937,0.542,0,null,null
938,0.5704,0,null,null
939,0.563,0,null,null
940,0.5585,0,null,null
941,0.5294,0,null,null
942,0.5273,0,null,null
943,0.5216,0,null,null
944,0.54,0,null,null
945,0.5343,0,null,null
946,0.5372,0,null,null
947,0.5324,0,null,null
948,0.4929,0,null,null
949,0.5547,0,null,null
950,0.5898,0,null,null
951,0.5298,0,null,null
952,0.5474,0,null,null
953,0.5256,0,null,null
954,0.5332,0,null,null
955,0.567,0,null,null
956,0.5636,0,null,null
957,0.5515,0,null,null
958,0.5595,0,null,null
959,0.4847,0,null,null
960,0.5098,0,null,null
961,0.5357,0,null,null
962,0.5183,0,null,null
963,0.5248,0,null,null
964,0.5541,0,null,null
965,0.5806,0,null,null
966,0.5202,0,null,null
967,0.5564,0,null,null
968,0.5275,0,null,null
969,0.5137,0,null,null
970,0.5368,0,null,null
971,0.5124,0,null,null
972,0.5687,0,null,null
973,0.5687,0,null,null
974,0.5697,0,null,null
975,0.5737,0,null,null
976,0.5596,0,null,null
977,0.5254,0,null,null
978,0.5348,0,null,null
979,0.5294,0,null,null
980,0.5312,0,null,null
981,0.5303,0,null,null
982,0.4968,0,null,null
983,0.4929,0,null,null
984,0.4786,0,null,null
985,0.529,0,null,null
986,0.5387,0,null,null
987,0.5484,0,null,null
988,0.539,0,null,null
989,0.5359,0,null,null
990,0.5298,0,null,null
991,0.5183,0,null,null
992,0.5382,0,null,null
993,0.5356,0,null,null
994,0.5483,0,null,null
995,0.5271,0,null,null
996,0.5379,0,null,null
997,0.5675,0,null,null
998,0.5128,0,null,null
999,0.5205,0,null,null
1000,0.5391,0,null,null
