MDTU,plaq,Re(det),Im(det),link
732,0.154404,1.42444e-11,1.8577e-11,0.646314
734,0.139513,5.59481e-11,1.00089e-11,0.61818
736,0.160878,1.76856e-11,1.98872e-11,0.582119
738,0.154038,1.00533e-11,1.17602e-11,0.566507
740,0.145329,3.61627e-11,2.38594e-11,0.544143
742,0.172019,3.49596e-11,1.47966e-11,0.572657
744,0.175576,9.98384e-12,1.83231e-11,0.569828
746,0.161503,1.29503e-11,1.89121e-11,0.531112
748,0.161503,1.29503e-11,1.89121e-11,0.531112
750,0.169626,1.35614e-11,1.44395e-11,0.545837
752,0.126187,2.48979e-11,6.84624e-12,0.573827
754,0.126187,2.48979e-11,6.84624e-12,0.573827
756,0.239762,1.33216e-11,1.01763e-11,0.552976
758,0.239762,1.33216e-11,1.01763e-11,0.552976
760,0.239762,1.33216e-11,1.01763e-11,0.552976
762,0.160519,2.35847e-11,1.86211e-11,0.544376
764,0.160519,2.35847e-11,1.86211e-11,0.544376
766,0.147648,5.24407e-12,4.29784e-12,0.550536
768,0.147648,5.24407e-12,4.29784e-12,0.550536
770,0.147648,5.24407e-12,4.29784e-12,0.550536
772,0.147648,5.24407e-12,4.29784e-12,0.550536
774,0.147648,5.24407e-12,4.29784e-12,0.550536
776,0.147648,5.24407e-12,4.29784e-12,0.550536
778,0.174993,1.00704e-11,8.11856e-12,0.535894
780,0.169623,2.75325e-11,1.29732e-11,0.546132
782,0.180143,2.56665e-11,2.66091e-11,0.546224
784,0.16412,5.44711e-12,6.04877e-12,0.53871
786,0.188321,1.74556e-11,8.45649e-12,0.55013
788,0.128531,1.20446e-11,9.73963e-12,0.532077
790,0.158386,1.88995e-11,3.24409e-11,0.548754
792,0.160198,6.36029e-12,5.30308e-12,0.537928
794,0.151667,1.75435e-11,1.00301e-11,0.534174
796,0.165101,1.20465e-11,1.86014e-11,0.535381
798,0.156823,9.68918e-12,1.07212e-11,0.5402
800,0.191336,1.10196e-11,8.80435e-12,0.540112
802,0.170977,6.11392e-12,1.10184e-11,0.51762
804,0.181773,7.47914e-12,7.82273e-12,0.51118
806,0.181773,7.47914e-12,7.82273e-12,0.51118
808,0.133594,2.32917e-11,1.49063e-11,0.504067
810,0.158491,2.59485e-11,2.75088e-11,0.51712
812,0.137314,1.34545e-11,1.36141e-11,0.502431
814,0.168326,1.44694e-11,1.11134e-11,0.505461
816,0.152797,1.11688e-11,1.25566e-11,0.506706
818,0.174702,2.79418e-11,5.00223e-11,0.511301
820,0.174702,2.79418e-11,5.00223e-11,0.511301
822,0.169194,4.26504e-11,2.95772e-11,0.502112
824,0.157434,1.22585e-11,7.42287e-12,0.497299
826,0.195734,1.43788e-11,1.12047e-11,0.511446
828,0.182574,1.61668e-11,2.09954e-11,0.514201
830,0.189373,1.02948e-11,7.23903e-12,0.529015
832,0.168962,1.56468e-11,1.03596e-11,0.517049
834,0.165104,1.67667e-11,5.56074e-12,0.512763
836,0.163089,8.04146e-11,6.91718e-11,0.504099
838,0.163089,8.04146e-11,6.91718e-11,0.504099
840,0.155659,6.19383e-12,1.14644e-11,0.497955
842,0.155659,6.19383e-12,1.14644e-11,0.497955
844,0.193739,2.0418e-11,1.80623e-11,0.504683
846,0.169257,4.75922e-12,9.52079e-12,0.501898
848,0.169522,2.98907e-11,2.76115e-11,0.505999
850,0.139571,1.24282e-11,7.72031e-12,0.516859
852,0.148563,4.23455e-12,9.04995e-12,0.515931
854,0.189179,8.22711e-12,1.04957e-11,0.526682
856,0.170683,9.22591e-12,1.05035e-11,0.521024
858,0.186531,1.71413e-11,1.17021e-11,0.521712
860,0.173983,1.54318e-11,1.61197e-11,0.511373
862,0.149632,1.35001e-11,1.32882e-11,0.504568
864,0.149632,1.35001e-11,1.32882e-11,0.504568
866,0.149632,1.35001e-11,1.32882e-11,0.504568
868,0.141946,1.0503e-11,1.97552e-11,0.502414
870,0.194931,2.36998e-11,2.42012e-11,0.511435
872,0.194931,2.36998e-11,2.42012e-11,0.511435
874,0.160973,1.24331e-11,7.03723e-12,0.514929
876,0.160402,4.50026e-11,1.7685e-11,0.517285
878,0.18837,1.85001e-11,3.50641e-11,0.505931
880,0.174979,7.59165e-12,5.12911e-12,0.509047
882,0.150904,1.19077e-11,9.21541e-12,0.524619
884,0.166062,6.98611e-12,7.09027e-12,0.539746
886,0.180317,2.11669e-11,1.32984e-11,0.560872
888,0.159711,4.21567e-11,7.97195e-11,0.567411
890,0.150929,1.01623e-11,6.96869e-12,0.562883
892,0.16314,3.81869e-12,1.08291e-11,0.550382
894,0.143142,4.94921e-11,2.8979e-11,0.553365
896,0.141871,8.64854e-12,2.56584e-11,0.555715
898,0.166857,8.09516e-12,6.35998e-12,0.537379
