t,e^(-dS)
784,0.67032
785,2.27573
786,0.492185
787,0.99816
788,0.258464
789,0.544548
790,0.66671
791,0.46865
792,1.83363
793,0.519442
794,0.724698
795,0.574015
796,1.17798
797,1.17081
798,1.30421
799,0.925492
800,0.754953
801,0.765137
802,1.51301
803,1.05935
804,0.471564
805,0.633497
806,1.19017
807,1.10391
808,0.557106
809,1.11739
810,1.62012
811,1.7395
812,0.631347
813,0.795329
814,0.535315
815,1.09769
816,0.544765
817,1.74752
818,0.690734
819,1.07175
820,0.57961
821,0.544167
822,1.39445
823,0.960252
824,1.08162
825,0.73308
826,0.402122
827,0.590196
828,1.11539
829,0.578741
830,0.76782
831,0.725713
832,0.708362
833,0.6023
834,0.782235
835,0.919174
836,0.968032
837,2.13977
838,1.02709
839,1.16265
840,1.14236
841,0.67032
842,1.49004
843,1.73638
844,0.457582
845,0.476018
846,0.432272
847,0.975446
848,1.97131
849,1.52348
850,0.983213
851,0.847724
852,0.829942
853,0.59762
854,0.806945
855,1.44282
856,0.425071
857,0.405676
858,0.736608
859,1.34447
860,0.586548
861,1.60496
862,0.992754
863,0.971154
864,0.957423
865,0.905616
866,1.0237
867,1.17951
868,0.59583
869,0.798277
870,1.16929
871,0.799715
872,1.19232
873,0.71634
874,1.42162
875,0.667377
876,1.22703
877,2.02547
878,0.653704
879,0.757145
880,0.766822
881,0.849591
882,0.840129
883,1.31337
884,0.975388
885,0.581933
886,0.605985
887,1.13224
888,0.7049
889,1.4981
890,0.776002
891,0.966021
892,0.948655
893,1.04223
894,1.6613
895,0.575452
896,1.00075
897,1.6382
898,1.00823
899,0.836524
900,0.76805
901,0.771823
902,1.42632
903,0.501225
904,0.709142
905,1.35175
906,1.15951
907,1.3893
908,0.904385
909,0.916631
910,1.96384
911,1.07677
912,0.344728
913,1.08038
914,0.827042
915,1.78944
916,0.787179
917,0.899605
918,0.477448
919,0.491497
920,1.52562
921,2.17798
922,1.69825
923,0.466266
924,0.854106
925,0.734768
926,1.68809
927,1.22924
928,0.639224
929,0.539885
930,0.574015
931,1.01101
932,0.97696
933,2.87485
934,0.579958
935,1.72409
936,0.278315
937,0.7719
938,0.783018
939,0.525976
940,0.494109
941,1.07034
942,1.25696
943,1.10561
944,0.887897
945,0.317588
946,2.17733
947,1.07673
948,1.1535
949,1.18388
950,2.11615
951,0.909437
952,0.706169
953,1.44224
954,1.35771
955,1.10377
956,0.643135
957,0.614959
958,1.9443
959,0.842232
960,0.779424
961,2.33054
962,1.12243
963,1.29162
964,1.10055
965,0.357364
966,1.7605
967,1.30735
968,1.11382
969,0.536709
970,1.15951
971,0.820288
972,1.16579
973,0.510533
974,1.71189
975,0.439859
976,0.239309
977,1.02917
978,1.18388
979,0.430719
980,0.766822
981,0.284506
982,0.610913
983,1.05095
984,0.917236
985,1.32936
986,1.20382
987,0.371131
988,2.79547
989,0.352044
990,1.76385
991,0.839961
992,0.54346
993,0.392233
994,0.587899
995,0.868316
996,0.591792
997,0.916017
998,0.583973
999,0.822752
1000,0.841306
