t,deltaS
914,0.1899
915,-0.5819
916,0.2393
917,0.1058
918,0.7393
919,0.7103
920,-0.4224
921,-0.7784
922,-0.5296
923,0.763
924,0.1577
925,0.3082
926,-0.5236
927,-0.2064
928,0.4475
929,0.6164
930,0.5551
931,-0.01095
932,0.02331
933,-1.056
934,0.5448
935,-0.5447
936,1.279
937,0.2589
938,0.2446
939,0.6425
940,0.705
941,-0.06798
942,-0.2287
943,-0.1004
944,0.1189
945,1.147
946,-0.7781
947,-0.07393
948,-0.1428
949,-0.1688
950,-0.7496
951,0.09493
952,0.3479
953,-0.3662
954,-0.3058
955,-0.09873
956,0.4414
957,0.4862
958,-0.6649
959,0.1717
960,0.2492
961,-0.8461
962,-0.1155
963,-0.2559
964,-0.09581
965,1.029
966,-0.5656
967,-0.268
968,-0.1078
969,0.6223
970,-0.148
971,0.1981
972,-0.1534
973,0.6723
974,-0.5376
975,0.8213
976,1.43
977,-0.02875
978,-0.1688
979,0.8423
980,0.2655
981,1.257
982,0.4928
983,-0.04969
984,0.08639
985,-0.2847
986,-0.1855
987,0.9912
988,-1.028
989,1.044
990,-0.5675
991,0.1744
992,0.6098
993,0.9359
994,0.5312
995,0.1412
996,0.5246
997,0.08772
998,0.5379
999,0.1951
1000,0.1728
