MDTU,|det-1|^2,1-Re(det),Im(det)
1358,1,1,1.05018e-06
1360,1,1,7.52989e-07
1362,0.999999,0.999999,6.37222e-07
1364,1,1,-1.69656e-07
1366,1,1,1.75429e-06
1368,1,1,1.75429e-06
1370,1,1,-1.12125e-06
1372,1,1,1.8267e-07
1374,0.999999,1,5.6238e-08
1376,1,1,5.98601e-07
1378,1,1,-5.1567e-08
1380,1,1,-1.0137e-06
1382,1,1,-1.37896e-06
1384,0.999997,0.999998,-1.44252e-06
1386,0.999999,0.999999,-4.78985e-07
1388,0.999999,0.999999,5.38902e-07
1390,1,1,-6.51188e-07
1392,0.999999,0.999999,5.74121e-07
1394,1,1,1.07243e-06
1396,1,1,-8.84274e-08
1398,1,1,3.65426e-07
1400,0.999999,0.999999,-1.23124e-06
1402,0.999998,0.999999,8.2949e-07
1404,0.999998,0.999999,8.2949e-07
1406,1,1,2.3536e-07
1408,0.999999,1,-1.99342e-07
1410,0.999999,1,1.57821e-07
1412,1,1,7.76561e-08
1414,0.999999,0.999999,8.29262e-07
1416,0.999997,0.999998,-2.1044e-07
1418,0.999999,1,2.80715e-07
1420,1,1,-5.11641e-07
1422,1,1,9.31281e-08
1424,1,1,5.20096e-07
1426,0.999998,0.999999,8.84776e-07
1428,0.999998,0.999999,8.84776e-07
1430,0.999998,0.999999,8.84776e-07
1432,0.999998,0.999999,-3.67913e-07
1434,1,1,1.27446e-07
1436,1,1,-5.54527e-07
1438,1,1,-8.03807e-07
1440,0.999999,1,4.94946e-07
1442,1,1,-3.33674e-07
1444,0.999999,0.999999,1.29524e-06
1446,1,1,-4.63041e-07
1448,1,1,-4.4049e-06
1450,1,1,1.40112e-07
1452,1,1,1.40112e-07
1454,1,1,-7.44773e-07
1456,0.999999,1,3.3009e-07
1458,0.999998,0.999999,-5.20713e-07
1460,1,1,-5.65416e-07
1462,1.00001,1,1.84753e-08
1464,1,1,5.90664e-07
1466,0.999998,0.999999,-5.82771e-07
1468,1,1,-6.44588e-07
1470,1,1,-8.46667e-07
1472,1,1,-6.18799e-07
1474,0.999997,0.999999,-3.74191e-07
1476,1,1,6.66855e-07
1478,1,1,1.11094e-06
1480,0.999999,1,4.45077e-07
1482,0.999997,0.999998,-2.60164e-07
1484,1,1,-1.31742e-06
1486,0.999998,0.999999,-7.66965e-07
1488,0.999999,1,1.23784e-06
1490,1,1,6.4884e-07
1492,0.999995,0.999998,1.91824e-06
1494,1,1,-2.11287e-07
1496,1,1,5.1441e-07
1498,1,1,5.70847e-09
1500,1,1,5.70847e-09
1502,0.999999,1,-6.59023e-07
1504,1,1,4.4553e-07
1506,1,1,1.6793e-06
1508,1,1,-3.873e-07
1510,1,1,3.89734e-07
1512,0.999996,0.999998,1.34378e-06
1514,1,1,6.49978e-07
1516,1,1,-1.19775e-06
1518,0.999999,0.999999,-1.06878e-06
1520,1,1,3.58952e-07
1522,1,1,3.58952e-07
1524,0.999999,1,-2.47516e-06
1526,0.999999,1,9.35691e-07
1528,1,1,-6.90459e-07
1530,1,1,-6.90459e-07
1532,0.999998,0.999999,-6.65748e-07
1534,1,1,2.4095e-06
1536,1,1,2.4095e-06
1538,1,1,-2.04579e-06
1540,1,1,2.92385e-07
1542,1,1,1.21478e-06
1544,0.999998,0.999999,-2.55261e-06
1546,0.999997,0.999999,6.70723e-07
1548,1,1,5.40751e-07
1550,1,1,2.25105e-07
1552,0.999998,0.999999,-1.37101e-07
1554,1,1,6.25449e-07
1556,1,1,6.25449e-07
1558,1,1,6.25449e-07
1560,1,1,3.15624e-08
1562,1,1,-1.35453e-07
1564,1,1,-3.78616e-07
1566,1,1,9.57418e-07
1568,0.999999,1,-5.16762e-09
1570,1,1,6.35245e-09
1572,1,1,-2.01009e-06
1574,0.999998,0.999999,1.14119e-06
1576,1,1,8.27422e-07
1578,1,1,1.16079e-06
1580,1,1,2.1151e-06
1582,0.999999,1,1.31563e-06
1584,0.999997,0.999998,1.26682e-06
1586,0.999998,0.999999,1.31486e-06
1588,1,1,2.95363e-07
1590,1,1,-5.49922e-07
1592,1,1,-1.30563e-06
1594,1,1,1.98755e-08
1596,1,1,1.98755e-08
1598,0.999998,0.999999,-3.52336e-06
1600,1,1,3.28981e-07
1602,1,1,-2.53227e-07
1604,1,1,1.0196e-06
1606,1,1,1.0196e-06
1608,1,1,-8.46929e-07
1610,1,1,7.91539e-07
1612,1,1,-6.77405e-08
1614,1,1,1.90027e-07
1616,1,1,3.52515e-07
1618,0.999999,1,9.38452e-07
1620,0.999999,0.999999,2.04696e-09
1622,1,1,5.11786e-07
1624,1,1,-2.01837e-06
1626,0.999997,0.999999,-2.7149e-08
1628,1,1,-1.72474e-07
1630,0.999998,0.999999,-2.91121e-08
1632,0.999999,0.999999,2.3068e-06
1634,0.999995,0.999998,-3.45118e-07
1636,0.999999,0.999999,-3.84833e-06
1638,1,1,-5.78724e-07
1640,1,1,1.72867e-07
1642,1,1,1.72867e-07
1644,1,1,-3.63363e-07
1646,1,1,-1.35116e-06
1648,1.00001,1,-3.25939e-06
1650,0.999999,1,2.00181e-07
1652,0.999999,1,-5.98282e-07
1654,1,1,1.62208e-06
1656,1,1,-4.43009e-07
1658,0.999997,0.999999,9.5801e-07
1660,1,1,-2.13272e-07
1662,1,1,3.28402e-07
1664,1,1,9.59763e-08
1666,0.999999,1,3.97656e-07
1668,1,1,-2.83938e-07
1670,1,1,9.4875e-08
1672,0.999991,0.999995,1.47338e-06
1674,0.999997,0.999998,8.45038e-07
1676,1,1,-2.53496e-06
1678,0.999998,0.999999,-8.40399e-07
1680,1,1,-1.579e-06
1682,1,1,-1.579e-06
1684,1,1,-1.579e-06
1686,0.999998,0.999999,1.28482e-06
1688,1,1,9.56612e-07
1690,1,1,1.42642e-07
1692,1.00001,1,1.62066e-06
1694,1,1,-1.76754e-06
1696,1,1,-2.56871e-06
1698,0.999993,0.999996,-3.20064e-06
1700,0.999998,0.999999,1.15367e-07
1702,0.999998,0.999999,8.15692e-07
1704,1,1,-2.24336e-07
1706,1,1,-9.36278e-07
1708,1,1,5.62402e-07
1710,1,1,8.22352e-07
1712,0.999993,0.999997,9.23297e-07
1714,1,1,-1.90902e-06
1716,0.999994,0.999997,2.14831e-06
1718,1,1,-5.63155e-07
1720,0.999999,0.999999,1.09783e-06
1722,1.00001,1.00001,4.18409e-06
1724,1.00001,1.00001,4.18409e-06
1726,1,1,-8.28148e-07
1728,1,1,6.47819e-07
1730,1,1,-2.83907e-06
1732,0.999999,0.999999,-6.63131e-07
1734,1,1,6.1688e-07
1736,1,1,4.44016e-07
1738,1,1,-4.19637e-06
1740,1,1,3.49633e-07
1742,1,1,2.41527e-07
1744,1,1,2.41527e-07
1746,0.999995,0.999998,-2.84976e-06
1748,0.999995,0.999998,-2.84976e-06
1750,1,1,1.47855e-06
1752,1,1,5.83955e-07
1754,1,1,-2.08123e-06
1756,1,1,-6.23088e-07
1758,1,1,-9.96737e-07
1760,1,1,-8.05493e-08
1762,1,1,-6.38962e-07
1764,0.999999,1,-2.97642e-07
1766,0.999999,1,-2.97642e-07
1768,0.999998,0.999999,1.72792e-06
1770,1,1,-1.01324e-06
1772,1,1,-5.19458e-07
1774,0.999998,0.999999,1.00882e-08
1776,0.999991,0.999995,-5.32143e-07
1778,0.999991,0.999995,-5.32143e-07
1780,1,1,2.62492e-08
1782,1.00001,1,3.02161e-06
1784,1,1,-6.17313e-07
1786,0.999999,1,-1.52363e-06
1788,0.999999,0.999999,1.98061e-06
1790,0.999997,0.999998,8.85207e-07
1792,1,1,-4.43025e-07
1794,1,1,-1.27643e-06
1796,1,1,5.93506e-07
1798,0.999998,0.999999,-4.84579e-08
1800,1,1,1.44665e-06
1802,1,1,-4.53341e-07
1804,0.999999,0.999999,-2.24623e-07
1806,0.999994,0.999997,-2.84089e-06
1808,1,1,3.79182e-07
1810,0.999998,0.999999,3.85682e-08
1812,1,1,1.22327e-06
1814,1,1,7.26655e-07
1816,0.999999,1,-2.96784e-07
1818,1,1,2.699e-07
1820,1,1,-2.96496e-06
1822,0.999993,0.999997,-1.44658e-06
1824,0.999993,0.999997,-1.44658e-06
1826,0.999997,0.999999,-3.43807e-06
1828,0.999997,0.999998,1.92472e-06
1830,0.999984,0.999992,5.38899e-06
1832,0.999998,0.999999,4.4191e-07
1834,0.999997,0.999998,1.13023e-06
1836,1,1,-4.77429e-07
1838,1.00001,1,1.4557e-07
1840,1.00001,1,1.4557e-07
1842,1,1,2.00109e-07
1844,1,1,-1.48132e-07
1846,1,1,1.72541e-06
1848,1,1,5.76232e-07
1850,0.999999,0.999999,6.06238e-07
1852,1,1,-9.50746e-09
1854,1,1,5.75453e-07
1856,0.999999,1,2.53243e-07
1858,1,1,1.29262e-06
1860,1,1,9.37372e-07
1862,1,1,8.65883e-07
1864,0.999998,0.999999,8.03923e-07
1866,1,1,2.29535e-07
1868,1,1,-1.17348e-06
1870,1,1,-1.17348e-06
1872,1,1,6.18676e-07
1874,0.999998,0.999999,7.16266e-07
1876,0.999997,0.999998,-5.01191e-07
1878,1,1,-4.98943e-08
