MDTU,min_ave,max_ave
1506,-1.64653,0.208685
1508,-1.61974,0.205331
1510,-1.7536,0.200186
1512,-1.63992,0.202899
1514,-1.69366,0.225449
1516,-1.80224,0.177896
1518,-1.87251,0.17499
1520,-1.84773,0.151138
1522,-1.84773,0.151138
1524,-1.88892,0.128388
1526,-1.82742,0.130678
1528,-1.96125,0.139948
1530,-1.96125,0.139948
1532,-1.87108,0.159173
1534,-1.85461,0.167789
1536,-1.85461,0.167789
1538,-1.81463,0.143159
1540,-1.96903,0.108246
1542,-2.04285,0.120842
1544,-1.90675,0.15473
1546,-1.90365,0.126498
1548,-1.91787,0.13701
1550,-1.95089,0.11712
1552,-1.82493,0.159576
1554,-1.98413,0.145126
1556,-1.98413,0.145126
1558,-1.98413,0.145126
1560,-1.93528,0.135982
1562,-1.93095,0.139878
1564,-1.89366,0.147094
1566,-1.90862,0.15199
1568,-1.96585,0.144166
1570,-1.88202,0.139353
1572,-1.92673,0.139344
1574,-1.83569,0.141872
1576,-1.93701,0.11043
1578,-1.90117,0.124851
1580,-2.01128,0.113747
1582,-2.04404,0.111405
1584,-2.02397,0.11153
1586,-1.89412,0.119626
1588,-1.87885,0.117503
1590,-1.96268,0.127163
1592,-1.9152,0.151433
1594,-2.02694,0.130227
1596,-2.02694,0.130227
1598,-1.95617,0.122741
1600,-2.07525,0.113767
1602,-2.02097,0.108314
1604,-2.00165,0.11468
1606,-2.00165,0.11468
1608,-2.06126,0.120216
1610,-2.08579,0.107592
1612,-2.05476,0.110016
1614,-2.0224,0.118176
1616,-2.05154,0.129549
1618,-1.93795,0.127957
1620,-1.87244,0.144951
1622,-1.93283,0.133945
1624,-1.89167,0.12956
1626,-1.89414,0.134982
1628,-1.93645,0.130352
1630,-1.84208,0.1502
1632,-1.81936,0.177222
1634,-1.88234,0.176633
1636,-1.83247,0.154064
1638,-1.83369,0.150334
1640,-1.87374,0.146552
1642,-1.87374,0.146552
1644,-1.77407,0.184951
1646,-1.85404,0.161511
1648,-1.79267,0.148961
1650,-1.82338,0.169533
1652,-1.77589,0.18179
1654,-1.75496,0.201417
1656,-1.76579,0.193351
1658,-1.91491,0.149743
1660,-1.88824,0.167514
1662,-1.80116,0.162743
1664,-1.93269,0.123549
1666,-1.9008,0.135641
1668,-1.96515,0.163965
1670,-1.7897,0.168565
1672,-1.81281,0.152862
1674,-1.87924,0.167699
