t,|deltaS|
906,0.3124
907,0.4217
908,0.1687
909,0.48
910,0.2526
911,0.5904
912,1.595
913,0.4964
914,0.7965
915,0.6409
916,0.222
917,0.04523
918,0.09066
919,0.01919
920,0.1528
921,0.4051
922,1.075
923,0.9254
924,1.4
925,1.933
926,0.6677
927,0.6792
928,0.03709
929,1.038
930,0.3311
931,0.2186
932,0.5465
933,0.6946
934,0.5683
935,0.6725
936,0.1328
937,0.727
938,0.4185
939,0.2686
940,0.4935
941,0.1837
942,0.07697
943,0.08995
944,0.3771
945,0.08538
946,0.8878
947,0.8096
948,0.1093
949,0.4829
950,1.277
951,0.7097
952,0.4088
953,0.324
954,0.3031
955,0.09353
956,0.2746
957,0.1814
958,0.2713
959,0.6041
960,1.278
961,0.2394
962,0.6638
963,0.2124
964,0.3033
965,0.1731
966,0.6629
967,0.3488
968,0.01281
969,1.721
970,0.5409
971,0.18
972,1.405
973,1.279
974,0.4652
975,0.9987
976,1.547
977,0.7473
978,1.547
979,0.944
980,0.8389
981,0.5655
982,1.39
983,0.7859
984,0.9264
985,0.6587
986,0.8726
987,0.8669
988,0.8685
989,0.8306
990,0.4004
991,0.178
992,0.6173
993,0.4544
994,0.02999
995,0.4068
996,1.625
997,0.9882
998,0.07265
999,0.0572
1000,0.8221
