MDTU,min_min,min_max,max_min,max_max
440,-4.68721,0.701395,-0.285673,1.25912
442,-4.32899,0.882124,-0.378132,1.23464
444,-5.02301,0.816281,-0.348278,1.22505
446,-4.47128,0.750822,-0.242355,1.31335
448,-3.85438,0.855716,-0.259491,1.21471
450,-4.7461,0.719913,-0.33812,1.19316
452,-4.56607,0.808038,-0.302616,1.24402
454,-4.09841,0.719381,-0.324648,1.22753
456,-3.78629,0.848928,-0.352129,1.1647
458,-4.05882,0.736698,-0.239874,1.17101
460,-5.05054,0.643427,-0.244765,1.16725
462,-5.89811,0.592943,-0.382762,1.23578
464,-4.42334,0.702261,-0.2129,1.16153
466,-4.15581,0.547235,-0.362061,1.12412
468,-5.54307,0.530264,-0.34655,1.17672
470,-3.78991,0.462117,-0.35464,1.03376
472,-4.85982,0.405401,-0.394815,1.02598
474,-4.86103,0.56669,-0.508993,1.05691
476,-4.53628,0.479185,-0.470112,1.09744
478,-3.83619,0.500459,-0.457631,1.06909
480,-4.14934,0.660815,-0.322173,1.11418
482,-4.16215,0.666683,-0.346759,1.14789
484,-4.34219,0.599692,-0.403277,1.15014
486,-4.26044,0.651289,-0.321608,1.17091
488,-4.80035,0.614791,-0.276951,1.07781
490,-4.27935,0.610485,-0.284682,1.13382
492,-4.10368,0.543801,-0.287811,1.08413
494,-5.6324,0.655964,-0.334353,1.1276
496,-4.04621,0.69089,-0.43642,1.14883
498,-5.22266,0.687118,-0.275174,1.17782
500,-5.22266,0.687118,-0.275174,1.17782
502,-5.22266,0.687118,-0.275174,1.17782
504,-5.22266,0.687118,-0.275174,1.17782
506,-4.6033,0.675944,-0.354496,1.11745
508,-4.68111,0.759561,-0.333464,1.23754
510,-4.68111,0.759561,-0.333464,1.23754
512,-4.31147,0.804482,-0.447175,1.21363
514,-4.31147,0.804482,-0.447175,1.21363
516,-3.80965,0.608583,-0.362998,1.14939
518,-3.80965,0.608583,-0.362998,1.14939
520,-4.96993,0.752389,-0.499245,1.13755
522,-4.96993,0.752389,-0.499245,1.13755
524,-4.96993,0.752389,-0.499245,1.13755
526,-4.96993,0.752389,-0.499245,1.13755
528,-4.5585,0.666863,-0.341797,1.20926
530,-4.5585,0.666863,-0.341797,1.20926
532,-4.98211,0.714309,-0.357435,1.19467
534,-4.4665,0.674033,-0.247305,1.169
536,-5.08955,0.732847,-0.395283,1.16186
538,-5.61913,0.638647,-0.335914,1.28231
540,-4.32437,0.804429,-0.347271,1.22402
542,-5.31458,0.692242,-0.344474,1.17454
544,-4.40301,0.716919,-0.424,1.22633
546,-4.02852,0.611873,-0.605237,1.19055
548,-3.66929,0.742531,-0.338967,1.31688
550,-4.0147,0.811884,-0.377735,1.2264
552,-4.8471,0.824755,-0.520418,1.39206
554,-3.66487,0.904853,-0.356565,1.34216
556,-3.46147,0.791244,-0.278345,1.28323
558,-5.20019,0.825305,-0.417909,1.32775
560,-5.26594,0.710751,-0.309684,1.20123
562,-4.61328,0.664235,-0.326857,1.20769
564,-3.92142,0.804148,-0.429769,1.25032
566,-3.98741,0.871991,-0.297732,1.30034
568,-3.96005,0.927494,-0.310833,1.31755
570,-4.28453,0.903609,-0.258108,1.33813
572,-4.28453,0.903609,-0.258108,1.33813
574,-4.33243,0.985351,-0.397035,1.29897
576,-3.84119,0.835939,-0.377158,1.32972
578,-4.1128,0.964444,-0.23531,1.28185
580,-4.43965,0.861335,-0.377217,1.2755
582,-5.43314,0.89533,-0.314731,1.26814
584,-4.38864,0.855973,-0.316251,1.2941
586,-5.19077,0.945165,-0.349161,1.3945
588,-5.08443,0.890355,-0.342718,1.31342
590,-3.99712,0.930332,-0.359579,1.33122
592,-4.89319,0.885886,-0.304252,1.28304
594,-5.15333,0.885454,-0.336253,1.30204
596,-4.8805,0.933025,-0.410983,1.30679
598,-5.52411,0.868755,-0.313027,1.34718
600,-5.52411,0.868755,-0.313027,1.34718
602,-3.90809,0.877995,-0.453279,1.28201
604,-3.69343,1.00896,-0.546393,1.40161
606,-3.69343,1.00896,-0.546393,1.40161
608,-4.9493,1.03747,-0.300871,1.44523
610,-4.68472,0.945082,-0.266438,1.38297
612,-4.64617,1.0128,-0.343396,1.39885
614,-4.86522,1.03051,-0.282303,1.45214
616,-3.58784,0.992715,-0.37493,1.46455
618,-4.85462,1.02946,-0.365388,1.48359
620,-5.44785,1.20114,-0.350368,1.48424
622,-4.75468,1.04486,-0.442582,1.48308
624,-4.75468,1.04486,-0.442582,1.48308
626,-3.83288,1.06288,-0.37428,1.4185
628,-4.07054,1.02834,-0.392911,1.39576
630,-5.21781,1.06633,-0.221335,1.42062
632,-3.88344,1.07609,-0.33797,1.43173
634,-4.04306,1.15305,-0.243221,1.44893
636,-3.83903,1.07728,-0.509252,1.4693
638,-4.69376,1.09024,-0.412941,1.41396
640,-3.83726,1.00493,-0.327477,1.36955
642,-4.27744,0.989392,-0.453245,1.38901
644,-3.95298,0.999404,-0.425347,1.41472
646,-4.12299,1.11109,-0.32123,1.4899
648,-4.45723,1.08479,-0.487348,1.4634
650,-4.45723,1.08479,-0.487348,1.4634
652,-5.46762,1.09118,-0.398465,1.43653
654,-4.06829,1.12715,-0.413162,1.41164
656,-4.64588,1.04537,-0.471792,1.39335
658,-4.86639,1.00856,-0.407876,1.41824
660,-6.21151,1.04406,-0.500899,1.40297
662,-4.31248,1.12882,-0.507359,1.51018
664,-4.32793,1.01293,-0.388999,1.39911
666,-4.69769,1.03146,-0.336922,1.37854
668,-3.54369,1.09927,-0.52667,1.40608
670,-3.76532,1.11948,-0.374009,1.47192
672,-4.36066,1.02215,-0.369364,1.44921
674,-4.60612,1.12737,-0.496538,1.44794
676,-4.68465,1.08577,-0.381218,1.48987
678,-4.35038,1.08661,-0.312514,1.45963
680,-3.96412,1.15762,-0.257145,1.47001
682,-4.33847,1.13171,-0.305264,1.4709
684,-5.59539,1.12838,-0.346126,1.47039
686,-5.59539,1.12838,-0.346126,1.47039
688,-4.03052,1.15777,-0.38518,1.48753
690,-4.40627,1.2628,-0.242653,1.47329
692,-4.56316,1.21266,-0.299532,1.49162
694,-4.60386,1.25312,-0.433739,1.57044
696,-5.18394,1.07866,-0.43293,1.56265
698,-3.94838,1.23174,-0.463028,1.60605
700,-6.0028,1.21573,-0.336198,1.52777
702,-6.0028,1.21573,-0.336198,1.52777
704,-3.6221,1.121,-0.4684,1.54139
706,-3.72267,1.25249,-0.263829,1.5548
708,-5.47556,1.1722,-0.271293,1.49536
710,-5.15376,1.09441,-0.338634,1.47011
712,-4.33729,1.11178,-0.384853,1.55241
714,-7.47197,1.1035,-0.38889,1.45434
716,-4.94022,1.08676,-0.30648,1.44455
718,-4.97859,1.06001,-0.305093,1.45037
720,-4.97859,1.06001,-0.305093,1.45037
722,-4.9512,1.12204,-0.351257,1.50701
724,-4.9512,1.12204,-0.351257,1.50701
726,-4.17131,1.00975,-0.383701,1.51443
