MDTU,|det-1|^2,1-Re(det),Im(det)
330,1.00001,1,2.29129e-06
332,1,1,-1.8153e-06
334,1,1,-1.8153e-06
336,1,1,8.38872e-06
338,1.00001,1,3.73636e-07
340,1.00001,1,-2.55866e-05
342,1.00006,1.00003,6.31613e-06
344,1.00006,1.00003,-4.78555e-06
346,0.99999,0.999995,1.17369e-06
348,0.999981,0.999991,-1.92383e-05
350,1.00014,1.00007,-4.62665e-06
352,0.999954,0.999977,3.04436e-06
354,0.999954,0.999977,3.04436e-06
356,1.00002,1.00001,2.44503e-05
358,1.00002,1.00001,2.44503e-05
360,0.999995,0.999998,-4.57294e-06
362,1.00002,1.00001,-8.95608e-07
364,1.00004,1.00002,1.67397e-06
366,1.00001,1,-8.14536e-06
368,0.999999,1,-5.39406e-06
370,0.999901,0.999951,3.54766e-06
372,1.00002,1.00001,2.89255e-05
374,1.00002,1.00001,2.89255e-05
376,1.00002,1.00001,2.89255e-05
378,0.999998,0.999999,1.18107e-05
380,0.999998,0.999999,1.18107e-05
382,1.00003,1.00001,3.40453e-05
384,0.999972,0.999986,-2.52247e-05
386,0.999995,0.999997,8.38178e-06
388,1.00003,1.00001,5.21511e-06
390,0.999976,0.999988,-1.85297e-06
392,0.999998,0.999999,2.19756e-06
394,0.999998,0.999999,2.19756e-06
396,0.999995,0.999997,-6.69017e-07
398,1,1,-3.52854e-06
400,1.00004,1.00002,1.89671e-06
402,1.00002,1.00001,-2.67237e-05
404,0.99997,0.999985,6.368e-06
406,0.999929,0.999965,-7.92536e-06
408,0.999929,0.999965,-7.92536e-06
410,1.00001,1,-2.12963e-05
412,0.999974,0.999987,-7.9262e-06
414,1.00002,1.00001,-1.24752e-05
416,0.999967,0.999983,-2.6897e-05
418,1.00018,1.00009,-5.46933e-05
420,1.00004,1.00002,2.67125e-05
422,0.999947,0.999973,-5.61408e-06
424,0.999959,0.99998,2.71182e-05
426,0.999992,0.999996,4.11916e-05
428,1.00002,1.00001,-1.55673e-05
430,1.00003,1.00001,1.87372e-08
432,1.00001,1,-2.61105e-06
434,1.00001,1,-2.61105e-06
436,0.99998,0.99999,1.95781e-06
438,0.99998,0.99999,1.95781e-06
440,1.00005,1.00002,1.24568e-05
442,1.00002,1.00001,1.4221e-05
444,1.00002,1.00001,1.4221e-05
446,1,1,1.03456e-05
448,0.999914,0.999957,-3.80005e-05
450,1.00004,1.00002,2.63592e-05
452,1.00007,1.00003,-1.84683e-05
454,0.999971,0.999986,-2.99177e-06
456,1.00004,1.00002,-3.11997e-05
458,0.999911,0.999956,1.01008e-06
460,1.00002,1.00001,7.98619e-06
462,0.999992,0.999996,-1.0631e-05
464,1,1,4.80669e-06
466,0.999978,0.999989,4.44668e-05
468,1.00003,1.00001,-8.34332e-06
470,0.999987,0.999993,1.9927e-06
472,1,1,-3.50047e-06
474,1.00003,1.00001,7.78515e-06
476,1.00003,1.00001,2.08673e-06
478,0.999995,0.999998,-3.38361e-06
480,0.999995,0.999998,-3.38361e-06
482,0.999978,0.999989,4.15801e-06
484,0.999992,0.999996,-4.12761e-06
486,0.99996,0.99998,-6.29396e-06
488,0.999989,0.999995,-2.63969e-06
490,1.00001,1.00001,-8.49011e-07
492,0.99999,0.999995,-9.38865e-06
494,1.00009,1.00004,-3.16652e-05
496,1,1,3.36177e-05
498,0.99998,0.99999,8.96457e-06
500,1,1,1.6022e-05
502,1.00002,1.00001,1.81596e-06
504,1.00002,1.00001,1.81596e-06
506,0.999974,0.999987,4.64764e-07
508,1.00001,1.00001,-3.71215e-05
510,0.999985,0.999993,5.45376e-06
512,0.999971,0.999985,1.28226e-05
514,0.999971,0.999985,1.28226e-05
516,0.999971,0.999985,1.28226e-05
518,1.00001,1,9.20003e-06
520,1.00001,1,9.20003e-06
522,1,1,5.99894e-06
524,1.00007,1.00003,-1.26526e-05
526,0.99998,0.99999,-5.22309e-06
528,0.99996,0.99998,3.01739e-05
530,0.99996,0.99998,3.01739e-05
532,0.999998,0.999999,1.48247e-06
534,0.999998,0.999999,1.48247e-06
536,1.00002,1.00001,-3.11844e-06
538,1.00007,1.00003,5.3539e-06
540,1.00007,1.00003,5.3539e-06
542,0.999975,0.999988,-1.31424e-05
544,1.00008,1.00004,6.00139e-05
546,1.00003,1.00002,5.12192e-06
548,0.999998,0.999999,-2.32881e-06
550,1,1,-3.29474e-06
552,1,1,-1.0451e-05
554,1.00001,1.00001,-1.21977e-06
556,0.999997,0.999999,-2.82846e-05
558,1,1,5.90408e-06
560,0.999986,0.999993,-7.40514e-06
562,0.999986,0.999993,-7.40514e-06
564,1.00003,1.00001,2.81165e-06
566,1,1,-1.43332e-05
568,0.999996,0.999998,4.61523e-06
570,1.00004,1.00002,1.93861e-05
572,0.999996,0.999998,-4.36591e-06
574,1.00001,1.00001,3.05219e-06
576,1.00001,1.00001,3.05219e-06
578,1.00002,1.00001,-5.13655e-06
580,1.00002,1.00001,-5.13655e-06
582,1.00009,1.00004,9.0096e-05
584,1.00016,1.00008,-0.000174484
586,1.00002,1.00001,-2.6386e-07
588,1.00001,1,-2.95756e-05
590,0.99998,0.99999,3.948e-06
592,0.999926,0.999963,-1.63223e-05
594,0.999926,0.999963,-1.63223e-05
596,1.00004,1.00002,3.43533e-05
598,0.999975,0.999988,1.16893e-05
600,1.00002,1.00001,1.37261e-05
602,0.999997,0.999999,9.51134e-06
604,0.999977,0.999989,-6.14506e-06
606,1.00001,1.00001,2.51178e-05
608,1.00002,1.00001,-9.21522e-06
610,0.99998,0.99999,-2.33417e-05
612,0.99998,0.99999,-2.33417e-05
614,0.999996,0.999998,4.071e-06
616,0.999994,0.999997,1.65897e-06
618,1.00003,1.00001,6.95043e-07
620,1.00001,1.00001,-5.5611e-06
622,1.00001,1.00001,-5.5611e-06
624,1,1,9.22715e-06
626,1.00002,1.00001,-1.40728e-05
628,0.999998,0.999999,-1.01977e-05
630,1,1,1.41516e-05
632,1.00004,1.00002,-1.40849e-05
634,0.999984,0.999992,5.66795e-06
636,0.999966,0.999983,-2.25168e-05
638,0.999966,0.999983,-2.25168e-05
640,1.00009,1.00004,3.04228e-05
642,0.999992,0.999996,7.9738e-06
644,1.00008,1.00004,8.79438e-06
646,1.00003,1.00001,2.74998e-05
648,1.00003,1.00002,-2.91148e-05
650,0.999955,0.999978,-3.52594e-08
652,1.00001,1.00001,2.6497e-06
654,1.00001,1.00001,2.6497e-06
656,1.00001,1.00001,2.6497e-06
658,0.999974,0.999987,-1.90203e-05
660,0.999975,0.999987,-3.92381e-06
662,0.999999,0.999999,-5.60223e-06
664,1.00002,1.00001,-8.8972e-06
666,0.999992,0.999996,-1.48035e-05
668,0.999979,0.99999,3.25691e-06
670,0.99997,0.999985,1.18536e-06
672,0.999947,0.999974,-3.77159e-06
674,1.00007,1.00003,3.50191e-06
676,0.999996,0.999998,7.00408e-06
678,1,1,-1.03604e-07
680,0.999994,0.999997,-2.51789e-05
682,0.999992,0.999996,2.66795e-05
684,1.00009,1.00004,-5.61932e-05
686,0.99998,0.99999,-4.14477e-05
688,0.999987,0.999994,1.20594e-05
690,0.99993,0.999965,2.69693e-05
692,0.999994,0.999997,1.21535e-05
694,0.999984,0.999992,-5.99861e-06
696,1.00004,1.00002,1.37047e-05
698,0.999981,0.999991,9.87323e-07
700,1.00003,1.00001,9.14544e-06
702,0.999995,0.999998,-1.03299e-05
704,0.999999,1,-8.71927e-06
706,1,1,-3.52824e-06
708,1.00003,1.00001,-5.99474e-06
710,0.999867,0.999934,-1.23982e-05
712,1.00002,1.00001,-4.38144e-06
714,1,1,-1.13395e-06
716,1.00001,1,-1.70362e-06
718,0.999989,0.999994,7.68737e-06
720,0.999978,0.999989,-1.28833e-06
722,0.99999,0.999995,-2.82633e-06
724,0.999993,0.999997,1.36332e-05
726,0.99998,0.99999,-1.29189e-06
728,0.999993,0.999997,-3.77228e-06
730,1.00006,1.00003,-1.60176e-05
732,1.00001,1,-4.77985e-06
734,1.00001,1,-4.77985e-06
736,0.999991,0.999995,-9.26228e-06
738,0.999988,0.999994,-2.01737e-05
740,0.999974,0.999987,-6.78948e-06
742,0.999969,0.999985,1.47361e-05
744,0.999969,0.999985,1.47361e-05
746,0.999988,0.999994,-3.27745e-06
748,0.999988,0.999994,-3.27745e-06
750,0.999986,0.999993,-1.08234e-05
752,0.999966,0.999983,-9.64693e-06
754,0.999966,0.999983,-9.64693e-06
756,1.00002,1.00001,7.12447e-06
758,0.999992,0.999996,1.39678e-05
760,0.999978,0.999989,-2.49252e-06
762,0.999997,0.999998,-3.29537e-06
764,1.00004,1.00002,3.03946e-05
766,0.99999,0.999995,4.0831e-06
768,1,1,-9.89164e-06
770,0.999969,0.999985,-8.4572e-06
772,0.999978,0.999989,-7.2719e-06
774,1,1,-5.76187e-07
776,1.00005,1.00003,4.33305e-05
778,1.00005,1.00003,4.33305e-05
780,1.00001,1.00001,1.15869e-05
782,0.99994,0.99997,-7.06707e-06
784,1.00002,1.00001,4.8778e-06
786,1.00002,1.00001,4.8778e-06
788,1.00003,1.00001,6.80711e-06
790,1.00003,1.00001,6.80711e-06
792,1.00003,1.00001,6.80711e-06
794,1.00002,1.00001,-1.47002e-05
796,1,1,6.14541e-06
798,0.999945,0.999973,-4.57957e-06
800,1.00001,1.00001,3.66756e-06
802,1.00001,1.00001,3.66756e-06
804,0.999989,0.999995,1.52115e-08
806,1.00001,1.00001,-4.13543e-06
808,1.00001,1,7.97315e-06
810,1.00001,1,7.67167e-07
812,1.00001,1.00001,2.13224e-05
814,1.00002,1.00001,-6.0352e-06
816,1.00002,1.00001,2.58201e-06
818,0.999997,0.999999,-3.86234e-06
820,1.00001,1.00001,8.95023e-06
822,1.00004,1.00002,2.01644e-05
824,1.00003,1.00002,-1.44442e-05
826,1.00003,1.00002,-2.41886e-05
828,1.00003,1.00002,-2.41886e-05
830,1.00002,1.00001,-2.75546e-06
832,0.999928,0.999964,-3.5694e-05
834,0.999982,0.999991,5.9632e-06
836,1.00003,1.00002,1.1002e-05
838,0.99997,0.999985,-4.28977e-06
840,0.999985,0.999993,-3.88164e-06
842,1.00003,1.00001,1.11115e-05
844,0.999956,0.999978,6.55779e-06
846,0.999886,0.999943,1.96661e-05
848,1.00002,1.00001,5.45509e-06
850,1.00003,1.00002,-1.25855e-05
852,1.00002,1.00001,9.89941e-06
854,0.999987,0.999993,2.28474e-05
856,1,1,7.78998e-06
858,0.999999,1,8.09518e-06
860,1.00001,1.00001,-1.5208e-06
862,1.00008,1.00004,-1.90834e-05
864,1,1,5.66675e-07
866,1,1,-2.97561e-07
868,1.00004,1.00002,1.92797e-06
870,1.00002,1.00001,4.4745e-05
872,1,1,-3.89256e-06
874,0.999996,0.999998,-6.89844e-06
876,1.00004,1.00002,4.74613e-05
878,1.00002,1.00001,7.15454e-06
880,1.00002,1.00001,7.15454e-06
882,1.00002,1.00001,7.15454e-06
884,1.00002,1.00001,7.15454e-06
886,1.00002,1.00001,7.15454e-06
888,1.00002,1.00001,7.15454e-06
890,1,1,4.44219e-06
892,0.999993,0.999996,1.38825e-05
894,0.999993,0.999996,1.38825e-05
896,1.00008,1.00004,-7.67989e-05
898,0.99998,0.99999,-5.57433e-06
900,1.00001,1,3.75368e-06
902,1.00001,1.00001,-5.31325e-06
904,1,1,-3.02622e-06
906,1,1,-3.02622e-06
908,1,1,-3.02622e-06
910,1,1,-3.02622e-06
912,1.00008,1.00004,2.30361e-05
914,1.00008,1.00004,2.30361e-05
916,1,1,-3.69187e-06
918,0.999996,0.999998,-2.52568e-06
920,0.999996,0.999998,-2.52568e-06
922,1,1,-2.41436e-06
924,0.999996,0.999998,4.56103e-06
926,0.999996,0.999998,4.56103e-06
928,0.999996,0.999998,4.56103e-06
930,0.999996,0.999998,4.56103e-06
932,1.00001,1,3.96739e-06
934,1,1,9.56288e-06
936,1.00001,1.00001,1.15589e-05
938,0.999989,0.999994,-9.42746e-06
940,1,1,-1.32091e-08
942,1,1,-1.32091e-08
944,0.999984,0.999992,-3.1877e-05
946,0.99999,0.999995,9.76529e-06
948,0.99999,0.999995,9.76529e-06
950,0.999995,0.999997,4.54079e-06
952,0.99998,0.99999,-5.32008e-06
954,0.99998,0.99999,-5.32008e-06
956,1.0001,1.00005,-3.08205e-05
958,1.00002,1.00001,-8.06798e-06
960,0.999995,0.999997,-7.82296e-06
962,0.999991,0.999995,1.14602e-05
964,1.00002,1.00001,-2.62769e-07
966,0.999949,0.999974,-1.26318e-05
968,1,1,2.1954e-06
970,0.999987,0.999993,-2.78094e-06
972,0.999966,0.999983,1.6287e-05
974,0.999981,0.99999,-1.94699e-05
976,0.999979,0.99999,-1.68981e-05
978,1.00001,1,4.68505e-06
980,1.00002,1.00001,9.06143e-06
982,1.00001,1.00001,-6.57371e-06
984,0.999961,0.999981,-1.10478e-06
986,0.999996,0.999998,8.63283e-07
988,0.999995,0.999997,7.42294e-06
990,1,1,-9.7745e-06
992,1,1,1.82031e-06
994,0.999989,0.999995,-1.57491e-05
996,1.00002,1.00001,7.4286e-06
998,0.999984,0.999992,-1.34508e-05
1000,0.999984,0.999992,-1.34508e-05
1002,0.999989,0.999994,-1.11805e-05
1004,1.00002,1.00001,-6.715e-06
1006,1.00001,1,-8.29889e-06
