MDTU,|Tr(L)|,ReTr(L),ImTr(L)
612,0.205744,0.0407815,0.201662
614,0.534293,-0.522495,-0.111662
616,0.398605,-0.100511,-0.385725
618,0.449607,-0.157017,-0.421299
620,0.123053,0.080101,-0.0934125
622,0.123053,0.080101,-0.0934125
624,0.178054,0.154862,-0.087869
626,0.476745,-0.468826,0.086529
628,0.157688,-0.157648,0.00353505
630,0.224667,0.222061,0.0341163
632,0.244772,0.161813,0.183657
634,0.152032,-0.148669,-0.0318012
636,0.302114,0.287123,0.0939865
638,0.302114,0.287123,0.0939865
640,0.021298,0.0108357,0.0183355
642,0.139968,0.139476,0.0117371
644,0.258837,-0.250177,-0.066393
646,0.104084,0.0836835,0.0618915
648,0.0767759,-0.00800955,-0.076357
650,0.541759,0.294766,-0.454551
652,0.218137,0.199285,-0.088711
654,0.218137,0.199285,-0.088711
656,0.218137,0.199285,-0.088711
658,0.140657,0.0803855,-0.115423
660,0.346433,-0.297218,-0.17798
662,0.189322,0.167229,-0.0887545
664,0.324239,0.31742,0.066152
666,0.321079,0.253352,-0.197242
668,0.439806,0.117317,-0.42387
670,0.110333,0.0525295,-0.0970255
672,0.365828,-0.250778,0.266347
674,0.175358,-0.17053,0.0408653
676,0.0947449,-0.0451078,-0.083318
678,0.206665,-0.187642,0.0866085
680,0.131107,0.130172,-0.0156287
682,0.259324,-0.0176339,-0.258723
684,0.218152,-0.0876825,0.199755
686,0.247665,0.113683,-0.220032
688,0.204953,-0.0102574,0.204696
690,0.0384599,0.0209024,-0.0322839
692,0.206396,0.109307,0.175075
694,0.456685,0.203072,-0.409051
696,0.180843,-0.01007,0.180562
698,0.184657,0.108059,0.149737
700,0.386179,0.168979,0.347247
702,0.132821,0.0832355,-0.103505
704,0.127579,0.0916305,0.088771
706,0.223725,0.00615725,-0.22364
708,0.237908,0.219598,0.091526
710,0.0478525,0.0122599,-0.0462554
712,0.322357,-0.322096,0.0129635
714,0.286672,0.198296,0.207025
716,0.252618,0.00171966,-0.252612
718,0.508293,0.43375,0.264995
720,0.255633,-0.0931805,-0.238045
722,0.478772,0.0712655,0.473438
724,0.0778457,0.0297057,0.071955
