MDTU,min_min,min_max,max_min,max_max
1100,-3.64688,0.963136,-1.66208,1.13463
1102,-2.94275,0.86729,-1.87208,1.11915
1104,-2.94275,0.86729,-1.87208,1.11915
1106,-2.94275,0.86729,-1.87208,1.11915
1108,-2.94275,0.86729,-1.87208,1.11915
1110,-3.38669,0.985897,-1.8565,1.118
1112,-3.38669,0.985897,-1.8565,1.118
1114,-3.38669,0.985897,-1.8565,1.118
1116,-3.38669,0.985897,-1.8565,1.118
1118,-3.40792,1.08055,-1.25164,1.25207
1120,-2.87693,0.995919,-1.61185,1.16095
1122,-5.3525,1.03668,-1.51184,1.27756
1124,-4.38913,0.979777,-1.59572,1.12928
1126,-4.50148,0.972365,-1.60973,1.16004
1128,-4.50148,0.972365,-1.60973,1.16004
1130,-4.50148,0.972365,-1.60973,1.16004
1132,-4.12907,1.18071,-1.67871,1.31082
1134,-4.40434,1.13337,-1.60251,1.30767
1136,-3.38829,1.15051,-1.75941,1.26684
1138,-4.07433,1.04491,-1.45845,1.20765
1140,-3.43483,1.16291,-1.66012,1.26578
1142,-3.93107,1.02505,-1.5816,1.19608
1144,-5.56976,1.04181,-1.35366,1.19013
1146,-4.08492,0.894583,-1.24886,1.09152
1148,-4.30919,0.996287,-1.36337,1.11169
1150,-3.40092,0.990959,-1.44455,1.13044
1152,-3.44387,0.981475,-1.50932,1.10765
1154,-4.36606,0.984157,-1.36788,1.18537
1156,-3.45975,0.921771,-1.6423,1.13777
1158,-3.10141,0.949602,-1.41254,1.08213
1160,-3.10141,0.949602,-1.41254,1.08213
1162,-3.10141,0.949602,-1.41254,1.08213
1164,-4.07904,0.842182,-1.39282,1.05012
1166,-4.53136,0.762075,-1.6851,1.03896
1168,-4.35663,0.776229,-1.43751,0.922322
1170,-4.09264,0.609435,-1.49786,0.932462
1172,-3.20182,0.726221,-1.64971,0.968338
1174,-4.22726,0.896906,-1.48599,1.04496
1176,-4.16471,0.9024,-1.27374,1.15675
1178,-2.90736,0.938507,-1.49079,1.07105
1180,-3.5228,0.885815,-1.56732,1.13889
1182,-2.97528,0.856279,-1.20623,1.05213
1184,-2.97528,0.856279,-1.20623,1.05213
1186,-3.90355,0.949005,-1.74746,1.11536
1188,-3.29727,0.884014,-1.27078,0.996955
1190,-3.6563,0.868682,-1.58274,1.04021
1192,-4.36791,0.861212,-1.08678,1.14387
1194,-3.47274,0.948421,-1.24002,1.11829
1196,-3.07472,1.01647,-1.57083,1.20576
1198,-3.68559,0.999588,-1.43795,1.20058
1200,-2.90591,1.05599,-1.19874,1.20759
1202,-6.62853,0.828721,-1.41356,1.15526
1204,-4.50665,0.768943,-1.51619,1.0756
1206,-4.50665,0.768943,-1.51619,1.0756
1208,-3.2236,0.842128,-1.28868,1.01695
1210,-3.5094,0.990994,-1.56124,1.14734
1212,-3.5592,0.914204,-1.36573,1.06712
1214,-3.67815,0.938939,-1.37266,1.1414
1216,-3.67815,0.938939,-1.37266,1.1414
1218,-3.2456,1.04171,-1.44198,1.23258
1220,-4.39657,1.04156,-1.35289,1.29988
1222,-3.04615,1.211,-1.57725,1.34738
1224,-3.70981,1.11334,-1.38114,1.19407
1226,-4.31588,0.945553,-1.25221,1.02435
1228,-5.37584,1.03215,-1.82618,1.30022
1230,-3.56805,1.18294,-1.54423,1.31395
1232,-3.99805,1.02117,-1.40259,1.1116
1234,-2.77627,0.945687,-1.35156,1.14483
1236,-3.21173,0.975983,-1.69309,1.14608
1238,-2.78022,0.884653,-1.53249,1.17203
1240,-3.49229,1.05519,-1.80438,1.23643
1242,-3.69506,1.27263,-1.69927,1.42887
1244,-4.48738,1.38816,-1.47829,1.46699
1246,-4.48738,1.38816,-1.47829,1.46699
1248,-4.48738,1.38816,-1.47829,1.46699
1250,-4.33172,1.29177,-1.32866,1.38818
1252,-4.09422,1.26035,-1.24976,1.49752
1254,-4.07015,1.31837,-1.62604,1.46085
1256,-3.78968,1.41045,-1.50219,1.5515
1258,-3.78946,1.4204,-1.467,1.5823
1260,-4.07424,1.43358,-2.02833,1.65244
1262,-4.07424,1.43358,-2.02833,1.65244
1264,-4.13247,1.49654,-1.54057,1.61073
1266,-4.45251,1.45816,-1.39223,1.58972
1268,-3.82787,1.44415,-1.75237,1.56917
1270,-4.19245,1.40345,-1.6376,1.56405
1272,-4.93712,1.45558,-1.60631,1.53973
1274,-3.21916,1.44284,-1.09759,1.53511
1276,-2.70172,1.38273,-1.54848,1.54032
1278,-4.16439,1.37193,-1.53135,1.53737
1280,-3.93789,1.39082,-1.42388,1.52165
1282,-2.94197,1.40106,-1.43543,1.55521
1284,-4.3524,1.25236,-1.52033,1.34899
1286,-3.1681,1.35969,-1.92763,1.48846
1288,-3.59639,1.43614,-1.62643,1.50587
1290,-4.89779,1.38738,-1.47245,1.47552
1292,-3.26486,1.51836,-1.44817,1.5968
1294,-3.26486,1.51836,-1.44817,1.5968
1296,-3.26486,1.51836,-1.44817,1.5968
1298,-3.53566,1.41991,-1.36118,1.61342
1300,-3.53566,1.41991,-1.36118,1.61342
1302,-3.23714,1.49868,-1.36095,1.56285
1304,-3.38136,1.45191,-1.85374,1.54756
1306,-3.38136,1.45191,-1.85374,1.54756
1308,-5.00468,1.51751,-1.68416,1.65741
1310,-3.12981,1.48015,-1.49135,1.58905
1312,-3.12981,1.48015,-1.49135,1.58905
1314,-3.12981,1.48015,-1.49135,1.58905
1316,-3.12981,1.48015,-1.49135,1.58905
1318,-3.12981,1.48015,-1.49135,1.58905
1320,-3.12981,1.48015,-1.49135,1.58905
1322,-4.86141,1.50789,-1.39048,1.68686
1324,-3.7992,1.52878,-1.25596,1.63284
1326,-3.7992,1.52878,-1.25596,1.63284
1328,-4.74375,1.53473,-1.52754,1.72398
1330,-3.27695,1.55782,-1.36176,1.64815
1332,-4.45548,1.53776,-1.56784,1.61919
1334,-3.76474,1.44272,-1.3702,1.52757
1336,-6.01593,1.51284,-1.41596,1.61019
1338,-4.86941,1.43713,-1.81046,1.56179
1340,-3.80007,1.51091,-1.11038,1.61971
1342,-4.58502,1.39622,-1.44975,1.56489
1344,-3.17518,1.44837,-1.53691,1.54946
1346,-3.55751,1.50829,-1.2187,1.58478
1348,-4.67036,1.58707,-1.23582,1.6628
1350,-4.33438,1.56222,-1.30366,1.71881
1352,-3.96664,1.56881,-1.33765,1.71089
1354,-3.96664,1.56881,-1.33765,1.71089
1356,-4.50841,1.55031,-1.26652,1.69047
1358,-4.08639,1.65933,-1.33118,1.67888
1360,-2.9923,1.57333,-1.05552,1.72394
1362,-2.9923,1.57333,-1.05552,1.72394
1364,-3.56624,1.55106,-1.68881,1.64795
1366,-3.34758,1.59192,-1.867,1.68466
1368,-4.14349,1.57337,-1.80055,1.627
1370,-3.24364,1.49364,-1.45063,1.59025
1372,-3.24364,1.49364,-1.45063,1.59025
1374,-3.24364,1.49364,-1.45063,1.59025
1376,-3.35592,1.5369,-1.44011,1.68831
1378,-3.86004,1.58114,-1.36633,1.7177
1380,-3.49767,1.53278,-1.36657,1.67348
1382,-4.34445,1.42777,-2.27177,1.55787
1384,-3.40475,1.50818,-1.35904,1.62103
1386,-4.82571,1.5575,-1.42518,1.61011
1388,-3.02833,1.53063,-1.28337,1.66461
1390,-4.22991,1.53544,-1.46652,1.62563
