t,G,F1,F2,F3
630,0.07432,0,null,null
631,0.07324,0,null,null
632,0.07428,0,null,null
633,0.07355,0,null,null
634,0.0741,0,null,null
635,0.07404,0,null,null
636,0.07298,0,null,null
637,0.07073,0,null,null
638,0.07012,0,null,null
639,0.07433,0,null,null
640,0.07397,0,null,null
641,0.07309,0,null,null
642,0.07512,0,null,null
643,0.07349,0,null,null
644,0.07322,0,null,null
645,0.07265,0,null,null
646,0.07245,0,null,null
647,0.07205,0,null,null
648,0.0714,0,null,null
649,0.06926,0,null,null
650,0.06984,0,null,null
651,0.0708,0,null,null
652,0.06993,0,null,null
653,0.07112,0,null,null
654,0.0704,0,null,null
655,0.0692,0,null,null
656,0.0725,0,null,null
657,0.0719,0,null,null
658,0.07176,0,null,null
659,0.07232,0,null,null
660,0.07265,0,null,null
661,0.07076,0,null,null
662,0.07296,0,null,null
663,0.07097,0,null,null
664,0.07181,0,null,null
665,0.07138,0,null,null
666,0.07144,0,null,null
667,0.07229,0,null,null
668,0.07237,0,null,null
669,0.07454,0,null,null
670,0.07084,0,null,null
671,0.07025,0,null,null
672,0.07084,0,null,null
673,0.0714,0,null,null
674,0.07091,0,null,null
675,0.07053,0,null,null
676,0.07238,0,null,null
677,0.07311,0,null,null
678,0.06986,0,null,null
679,0.07232,0,null,null
680,0.07321,0,null,null
681,0.07174,0,null,null
682,0.07498,0,null,null
683,0.07177,0,null,null
684,0.07114,0,null,null
685,0.07064,0,null,null
686,0.06964,0,null,null
687,0.07063,0,null,null
688,0.07397,0,null,null
689,0.07412,0,null,null
690,0.07657,0,null,null
691,0.07344,0,null,null
692,0.07287,0,null,null
693,0.07182,0,null,null
694,0.06989,0,null,null
695,0.07364,0,null,null
696,0.07292,0,null,null
697,0.07428,0,null,null
698,0.07436,0,null,null
699,0.07415,0,null,null
700,0.07112,0,null,null
701,0.07028,0,null,null
702,0.07152,0,null,null
703,0.07016,0,null,null
704,0.07323,0,null,null
705,0.07221,0,null,null
706,0.07409,0,null,null
707,0.07031,0,null,null
708,0.07219,0,null,null
709,0.07263,0,null,null
710,0.07198,0,null,null
711,0.0725,0,null,null
712,0.07112,0,null,null
713,0.0698,0,null,null
714,0.07107,0,null,null
715,0.06994,0,null,null
716,0.06951,0,null,null
717,0.0716,0,null,null
718,0.07018,0,null,null
719,0.07346,0,null,null
720,0.0729,0,null,null
721,0.07142,0,null,null
722,0.07154,0,null,null
723,0.0735,0,null,null
724,0.07067,0,null,null
725,0.07106,0,null,null
